PROMPT_008 | tokens=25600 | budget=15360 | ratio=166.7%
PROMPT_011 | tokens=51200 | budget=710144 | ratio=7.2%
PROMPT_012 | tokens=384000 | budget=510913 | ratio=75.2%
PROMPT_013 | tokens=128000 | budget=601522 | ratio=21.3%
PROMPT_014 | tokens=25600 | budget=275456 | ratio=9.3%
PROMPT_015 | tokens=128000 | budget=560809 | ratio=22.8%
PROMPT_016 | tokens=25600 | budget=5120 | ratio=500.0%
PROMPT_018 | tokens=25600 | budget=5120 | ratio=500.0%
PROMPT_020 | tokens=281600 | budget=616960 | ratio=45.6%
PROMPT_025 | tokens=128000 | budget=444928 | ratio=28.8%
PROMPT_028 | tokens=76800 | budget=426945 | ratio=18.0%
PROMPT_034 | tokens=51200 | budget=176128 | ratio=29.1%
PROMPT_037 | tokens=25600 | budget=355840 | ratio=7.2%
PROMPT_041 | tokens=25600 | budget=15360 | ratio=166.7%
PROMPT_042 | tokens=25600 | budget=433920 | ratio=5.9%
PROMPT_048 | tokens=25600 | budget=15360 | ratio=166.7%
PROMPT_049 | tokens=25600 | budget=15360 | ratio=166.7%
PROMPT_050 | tokens=51200 | budget=546304 | ratio=9.4%
PROMPT_052 | tokens=25600 | budget=140800 | ratio=18.2%
PROMPT_053 | tokens=25600 | budget=15360 | ratio=166.7%
PROMPT_055 | tokens=25600 | budget=15360 | ratio=166.7%
PROMPT_060 | tokens=25600 | budget=15360 | ratio=166.7%
PROMPT_076 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_082 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_084 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_085 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_086 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_087 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_089 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_095 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_096 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_097 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_098 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_099 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_108 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_109 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_112 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_122 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_123 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_127 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_128 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_085 | tokens=25600 | budget=25000 | ratio=102.4%
PROMPT_086 | tokens=25600 | budget=25000 | ratio=102.4%
