PROMPT_013 | tokens=25600 | budget=2830 | ratio=904.6%
PROMPT_014 | tokens=25600 | budget=4794 | ratio=534.0%
PROMPT_016 | tokens=31650 | budget=12022 | ratio=263.3%
PROMPT_024 | tokens=25600 | budget=2288 | ratio=1118.9%
PROMPT_025 | tokens=25600 | budget=3493 | ratio=732.9%
PROMPT_037 | tokens=25600 | budget=9047 | ratio=283.0%
PROMPT_042 | tokens=25600 | budget=7517 | ratio=340.6%
PROMPT_049 | tokens=25600 | budget=1755 | ratio=1458.7%
PROMPT_060 | tokens=25600 | budget=8786 | ratio=291.4%
PROMPT_073 | tokens=25600 | budget=9403 | ratio=272.3%
PROMPT_082 | tokens=25600 | budget=9914 | ratio=258.2%
PROMPT_084 | tokens=25600 | budget=10240 | ratio=250.0%
PROMPT_086 | tokens=25600 | budget=10240 | ratio=250.0%
PROMPT_127 | tokens=25600 | budget=1577 | ratio=1623.3%
PROMPT_128 | tokens=25600 | budget=1560 | ratio=1641.0%
