PROMPT_016 | tokens=25600 | budget=4681 | ratio=546.9%
PROMPT_024 | tokens=25600 | budget=3727 | ratio=686.9%
PROMPT_034 | tokens=25600 | budget=9996 | ratio=256.1%
PROMPT_037 | tokens=25600 | budget=3483 | ratio=735.0%
PROMPT_042 | tokens=25600 | budget=3123 | ratio=819.7%
PROMPT_060 | tokens=25600 | budget=3689 | ratio=694.0%
PROMPT_073 | tokens=25600 | budget=4636 | ratio=552.2%
PROMPT_082 | tokens=25600 | budget=5120 | ratio=500.0%
PROMPT_084 | tokens=25600 | budget=5011 | ratio=510.9%
PROMPT_086 | tokens=25600 | budget=4620 | ratio=554.1%
PROMPT_089 | tokens=25600 | budget=4734 | ratio=540.8%
PROMPT_108 | tokens=25600 | budget=4678 | ratio=547.2%
PROMPT_127 | tokens=25600 | budget=1646 | ratio=1555.3%
PROMPT_128 | tokens=25600 | budget=1272 | ratio=2012.6%
