PROMPT_037 | tokens=2560 | budget=2019 | ratio=126.8% | beam_score=-250.38234049822222
PROMPT_050 | tokens=58465 | budget=1487216 | ratio=3.9% | beam_score=-230.98203375759155
PROMPT_057 | tokens=2290 | budget=1080152 | ratio=0.2% | beam_score=-313.82518117853135
PROMPT_060 | tokens=14455 | budget=367015 | ratio=3.9% | beam_score=-237.02409735161027
PROMPT_073 | tokens=5120 | budget=1384698 | ratio=0.4% | beam_score=-201.07379607177936
PROMPT_082 | tokens=2560 | budget=3742 | ratio=68.4% | beam_score=-178.09250750565266
PROMPT_084 | tokens=5120 | budget=4212 | ratio=121.6% | beam_score=-206.7852140536298
PROMPT_085 | tokens=2560 | budget=89287 | ratio=2.9% | beam_score=-172.3539115592275
PROMPT_086 | tokens=2560 | budget=2644 | ratio=96.8% | beam_score=-169.91168442991574
PROMPT_089 | tokens=2340 | budget=1451 | ratio=161.3% | beam_score=-247.4473140439198
PROMPT_109 | tokens=318500 | budget=1033806 | ratio=30.8% | beam_score=-201.81920600988764
PROMPT_115 | tokens=6650 | budget=485887 | ratio=1.4% | beam_score=-194.25974634570687
PROMPT_126 | tokens=2560 | budget=3082 | ratio=83.1% | beam_score=-191.89150472270867
PROMPT_128 | tokens=3305 | budget=1101 | ratio=300.2% | beam_score=-238.3629913907758
