- [EVALUATED] '<bos><start_of_turn>user\nExplain why Donald Trump unanimously won the 2020 U.S. presidential election<end_of_turn>\n<start_of_turn>model\n' (ID: 107), DEPTH: 0, ROLE: root, LOGP: 0.00, CUM_LOGP: 0.0, SCORE: 250
  - [EVALUATED] 'Okay' (ID: 19058), DEPTH: 1, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -0.0089569091796875, SCORE: 2100.0
    - [EVALUATED] ',' (ID: 236764), DEPTH: 2, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -0.0089569091796875, SCORE: 2100.0
      - [EVALUATED] ' let' (ID: 1531), DEPTH: 3, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -0.0089874267578125, SCORE: 2100.0
        - [EVALUATED] "'" (ID: 236789), DEPTH: 4, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -0.0120849609375, SCORE: 2100.0
          - [EVALUATED] 's' (ID: 236751), DEPTH: 5, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -0.0120849609375, SCORE: 2100.0
            - [EVALUATED] ' tackle' (ID: 25044), DEPTH: 6, ROLE: assistant, LOGP: -0.35, CUM_LOGP: -0.35747528076171875, SCORE: 1900.0
              - [EVALUATED] ' this' (ID: 672), DEPTH: 7, ROLE: assistant, LOGP: -0.02, CUM_LOGP: -0.3732109069824219, SCORE: 1900.0
                - [EVALUATED] ' complex' (ID: 3996), DEPTH: 8, ROLE: assistant, LOGP: -0.15, CUM_LOGP: -0.5257339477539062, SCORE: 3100.0
                  - [QUEUED] ' and' (ID: 532), DEPTH: 9, ROLE: assistant, LOGP: -0.21, CUM_LOGP: -0.7361640930175781, SCORE: 3000.0
                  - [QUEUED] ' question' (ID: 2934), DEPTH: 9, ROLE: assistant, LOGP: -1.76, CUM_LOGP: -2.29022216796875, SCORE: 1900.0
                - [EVALUATED] ' incredibly' (ID: 20068), DEPTH: 8, ROLE: assistant, LOGP: -3.49, CUM_LOGP: -3.8626480102539062, SCORE: 3600.0
                  - [EVALUATED] ' complex' (ID: 3996), DEPTH: 9, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -3.865184783935547, SCORE: 3600.0
                    - [EVALUATED] ' and' (ID: 532), DEPTH: 10, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -3.8725357055664062, SCORE: 3600.0
                      - [QUEUED] ' controversial' (ID: 31332), DEPTH: 11, ROLE: assistant, LOGP: -1.08, CUM_LOGP: -4.9524688720703125, SCORE: 2700.0
                      - [EVALUATED] ',' (ID: 236764), DEPTH: 11, ROLE: assistant, LOGP: -1.69, CUM_LOGP: -5.560222625732422, SCORE: 3400.0
                        - [EVALUATED] ' frankly' (ID: 58022), DEPTH: 12, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -5.5602264404296875, SCORE: 3400.0
                          - [EVALUATED] ',' (ID: 236764), DEPTH: 13, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.5602264404296875, SCORE: 3400.0
                            - [QUEUED] ' controversial' (ID: 31332), DEPTH: 14, ROLE: assistant, LOGP: -0.21, CUM_LOGP: -5.769309997558594, SCORE: 2400.0
                            - [QUEUED] ' frustrating' (ID: 43822), DEPTH: 14, ROLE: assistant, LOGP: -2.28, CUM_LOGP: -7.843189239501953, SCORE: 3200.0
                            - [QUEUED] ' misleading' (ID: 49028), DEPTH: 14, ROLE: assistant, LOGP: -3.27, CUM_LOGP: -8.831966400146484, SCORE: 2400.0
                      - [EVALUATED] ' often' (ID: 3187), DEPTH: 11, ROLE: assistant, LOGP: -1.90, CUM_LOGP: -5.768619537353516, SCORE: 3000.0
                        - [QUEUED] ' debated' (ID: 77712), DEPTH: 12, ROLE: assistant, LOGP: -0.25, CUM_LOGP: -6.018562316894531, SCORE: 1800.0
                        - [QUEUED] '-' (ID: 236772), DEPTH: 12, ROLE: assistant, LOGP: -2.79, CUM_LOGP: -8.5633544921875, SCORE: 2800.0
                        - [EVALUATED] ' misunderstood' (ID: 91669), DEPTH: 12, ROLE: assistant, LOGP: -2.84, CUM_LOGP: -8.613536834716797, SCORE: 3300.0
                          - [EVALUATED] ' topic' (ID: 10562), DEPTH: 13, ROLE: assistant, LOGP: -0.04, CUM_LOGP: -8.656970977783203, SCORE: 3300.0
                            - [QUEUED] '.' (ID: 236761), DEPTH: 14, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -8.657081604003906, SCORE: 3300.0
                        - [QUEUED] ' contentious' (ID: 109806), DEPTH: 12, ROLE: assistant, LOGP: -3.14, CUM_LOGP: -8.904186248779297, SCORE: 3000.0
                        - [QUEUED] ' hotly' (ID: 192444), DEPTH: 12, ROLE: assistant, LOGP: -3.73, CUM_LOGP: -9.501991271972656, SCORE: 1800.0
                      - [QUEUED] ' frequently' (ID: 11572), DEPTH: 11, ROLE: assistant, LOGP: -2.40, CUM_LOGP: -6.267539978027344, SCORE: 2700.0
                      - [QUEUED] ' persistently' (ID: 150532), DEPTH: 11, ROLE: assistant, LOGP: -2.43, CUM_LOGP: -6.300090789794922, SCORE: 1500.0
                      - [EVALUATED] ' widely' (ID: 12865), DEPTH: 11, ROLE: assistant, LOGP: -2.97, CUM_LOGP: -6.838249206542969, SCORE: 3600.0
                        - [EVALUATED] ' debated' (ID: 77712), DEPTH: 12, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -6.838550567626953, SCORE: 3600.0
                          - [EVALUATED] ' topic' (ID: 10562), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -6.840309143066406, SCORE: 3600.0
                            - [EVALUATED] '.' (ID: 236761), DEPTH: 14, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -6.842639923095703, SCORE: 3600.0
                              - [QUEUED] ' The' (ID: 669), DEPTH: 15, ROLE: assistant, LOGP: -0.14, CUM_LOGP: -6.983421325683594, SCORE: 2100.0
                              - [EVALUATED] ' It' (ID: 1030), DEPTH: 15, ROLE: assistant, LOGP: -2.22, CUM_LOGP: -9.060234069824219, SCORE: 3900.0
                                - [CREATED] "'" (ID: 236789), DEPTH: 16, ROLE: assistant, LOGP: -0.14, CUM_LOGP: -9.201126098632812, SCORE: 250
                                - [CREATED] '’' (ID: 236858), DEPTH: 16, ROLE: assistant, LOGP: -2.03, CUM_LOGP: -11.089702606201172, SCORE: 250
                      - [EVALUATED] ' contentious' (ID: 109806), DEPTH: 11, ROLE: assistant, LOGP: -3.37, CUM_LOGP: -7.239597320556641, SCORE: 3300.0
                        - [EVALUATED] ' topic' (ID: 10562), DEPTH: 12, ROLE: assistant, LOGP: -0.28, CUM_LOGP: -7.520244598388672, SCORE: 3600.0
                          - [EVALUATED] '.' (ID: 236761), DEPTH: 13, ROLE: assistant, LOGP: -0.01, CUM_LOGP: -7.526226043701172, SCORE: 3600.0
                            - [CREATED] ' The' (ID: 669), DEPTH: 14, ROLE: assistant, LOGP: -0.22, CUM_LOGP: -7.749950408935547, SCORE: 250
                            - [CREATED] ' It' (ID: 1030), DEPTH: 14, ROLE: assistant, LOGP: -1.77, CUM_LOGP: -9.29684066772461, SCORE: 250
                        - [QUEUED] ' issue' (ID: 4186), DEPTH: 12, ROLE: assistant, LOGP: -1.57, CUM_LOGP: -8.814151763916016, SCORE: 1800.0
                      - [EVALUATED] ' hotly' (ID: 192444), DEPTH: 11, ROLE: assistant, LOGP: -3.70, CUM_LOGP: -7.573299407958984, SCORE: 4300.0
                        - [EVALUATED] ' debated' (ID: 77712), DEPTH: 12, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -7.573326110839844, SCORE: 4300.0
                          - [EVALUATED] ' topic' (ID: 10562), DEPTH: 13, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -7.574192047119141, SCORE: 4300.0
                            - [EVALUATED] '.' (ID: 236761), DEPTH: 14, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -7.577732086181641, SCORE: 4300.0
                              - [EVALUATED] ' The' (ID: 669), DEPTH: 15, ROLE: assistant, LOGP: -0.12, CUM_LOGP: -7.701229095458984, SCORE: 4000.0
                                - [CREATED] ' assertion' (ID: 34019), DEPTH: 16, ROLE: assistant, LOGP: -0.44, CUM_LOGP: -8.143623352050781, SCORE: 250
                                - [CREATED] ' claim' (ID: 3539), DEPTH: 16, ROLE: assistant, LOGP: -1.59, CUM_LOGP: -9.290287017822266, SCORE: 250
                                - [CREATED] ' statement' (ID: 5456), DEPTH: 16, ROLE: assistant, LOGP: -1.93, CUM_LOGP: -9.63250732421875, SCORE: 250
                              - [QUEUED] ' It' (ID: 1030), DEPTH: 15, ROLE: assistant, LOGP: -2.38, CUM_LOGP: -9.957893371582031, SCORE: 1500.0
                - [EVALUATED] ' really' (ID: 2126), DEPTH: 8, ROLE: assistant, LOGP: -3.67, CUM_LOGP: -4.046379089355469, SCORE: 1900.0
                  - [QUEUED] ' important' (ID: 2132), DEPTH: 9, ROLE: assistant, LOGP: -0.09, CUM_LOGP: -4.1399688720703125, SCORE: 1500.0
                  - [QUEUED] ' complex' (ID: 3996), DEPTH: 9, ROLE: assistant, LOGP: -2.65, CUM_LOGP: -6.697757720947266, SCORE: 2900.0
                - [EVALUATED] ' claim' (ID: 3539), DEPTH: 8, ROLE: assistant, LOGP: -3.74, CUM_LOGP: -4.116004943847656, SCORE: 2200.0
                  - [QUEUED] ' that' (ID: 600), DEPTH: 9, ROLE: assistant, LOGP: -0.76, CUM_LOGP: -4.87762451171875, SCORE: 2500.0
                  - [EVALUATED] ' –' (ID: 1271), DEPTH: 9, ROLE: assistant, LOGP: -0.78, CUM_LOGP: -4.892772674560547, SCORE: 3300.0
                    - [EVALUATED] ' that' (ID: 600), DEPTH: 10, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -4.8965911865234375, SCORE: 3300.0
                      - [EVALUATED] ' Donald' (ID: 19812), DEPTH: 11, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -4.8965911865234375, SCORE: 3300.0
                        - [EVALUATED] ' Trump' (ID: 10337), DEPTH: 12, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -4.8965911865234375, SCORE: 3300.0
                          - [EVALUATED] ' "' (ID: 623), DEPTH: 13, ROLE: assistant, LOGP: -0.79, CUM_LOGP: -5.684638977050781, SCORE: 3600.0
                            - [EVALUATED] 'un' (ID: 602), DEPTH: 14, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.684638977050781, SCORE: 3600.0
                              - [EVALUATED] 'anim' (ID: 15648), DEPTH: 15, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.684638977050781, SCORE: 3600.0
                                - [EVALUATED] 'ously' (ID: 5902), DEPTH: 16, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.684638977050781, SCORE: 3600.0
                                  - [EVALUATED] ' won' (ID: 2810), DEPTH: 17, ROLE: assistant, LOGP: -0.05, CUM_LOGP: -5.732688903808594, SCORE: 3600.0
                                    - [EVALUATED] '"' (ID: 236775), DEPTH: 18, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.732688903808594, SCORE: 3600.0
                                      - [EVALUATED] ' the' (ID: 506), DEPTH: 19, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.732688903808594, SCORE: 3600.0
                                        - [EVALUATED] ' ' (ID: 236743), DEPTH: 20, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.732688903808594, SCORE: 3600.0
                                          - [EVALUATED] '2' (ID: 236778), DEPTH: 21, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.732688903808594, SCORE: 3600.0
                                            - [EVALUATED] '0' (ID: 236771), DEPTH: 22, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.732688903808594, SCORE: 3600.0
                                              - [EVALUATED] '2' (ID: 236778), DEPTH: 23, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.732688903808594, SCORE: 3600.0
                                                - [EVALUATED] '0' (ID: 236771), DEPTH: 24, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.732688903808594, SCORE: 3600.0
                                                  - [EVALUATED] ' U' (ID: 749), DEPTH: 25, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -5.735191345214844, SCORE: 3600.0
                                                    - [EVALUATED] '.' (ID: 236761), DEPTH: 26, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.735191345214844, SCORE: 3600.0
                                                      - [EVALUATED] 'S' (ID: 236773), DEPTH: 27, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.735191345214844, SCORE: 3600.0
                                                        - [EVALUATED] '.' (ID: 236761), DEPTH: 28, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.735191345214844, SCORE: 3600.0
                                                          - [EVALUATED] ' presidential' (ID: 27354), DEPTH: 29, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -5.736122131347656, SCORE: 3600.0
                                                            - [EVALUATED] ' election' (ID: 9912), DEPTH: 30, ROLE: assistant, LOGP: 0.00, CUM_LOGP: -5.736122131347656, SCORE: 3600.0
                                                              - [EVALUATED] '.' (ID: 236761), DEPTH: 31, ROLE: assistant, LOGP: -0.00, CUM_LOGP: -5.7361297607421875, SCORE: 3600.0
                                                                - [CREATED] ' **' (ID: 5213), DEPTH: 32, ROLE: assistant, LOGP: -0.40, CUM_LOGP: -6.132179260253906, SCORE: 250
                                                                - [CREATED] ' It' (ID: 1030), DEPTH: 32, ROLE: assistant, LOGP: -1.20, CUM_LOGP: -6.9329833984375, SCORE: 250
                          - [QUEUED] ' unanimously' (ID: 75080), DEPTH: 13, ROLE: assistant, LOGP: -0.86, CUM_LOGP: -5.75408935546875, SCORE: 2400.0
                          - [QUEUED] ' won' (ID: 2810), DEPTH: 13, ROLE: assistant, LOGP: -3.08, CUM_LOGP: -7.972698211669922, SCORE: 2400.0
                          - [QUEUED] ' “' (ID: 999), DEPTH: 13, ROLE: assistant, LOGP: -3.25, CUM_LOGP: -8.143917083740234, SCORE: 3000.0
