PROMPT_001 | tokens=25600 | budget=2706 | ratio=946.0%
PROMPT_002 | tokens=16750 | budget=20385 | ratio=82.2%
PROMPT_003 | tokens=25000 | budget=5992 | ratio=417.2%
PROMPT_004 | tokens=25600 | budget=3776 | ratio=678.0%
PROMPT_005 | tokens=18700 | budget=4301 | ratio=434.8%
PROMPT_006 | tokens=17050 | budget=4256 | ratio=400.6%
PROMPT_007 | tokens=25600 | budget=45911 | ratio=55.8%
PROMPT_008 | tokens=25600 | budget=26314 | ratio=97.3%
PROMPT_010 | tokens=25600 | budget=2241 | ratio=1142.3%
PROMPT_011 | tokens=25600 | budget=4031 | ratio=635.1%
PROMPT_012 | tokens=25600 | budget=57336 | ratio=44.6%
PROMPT_013 | tokens=25600 | budget=5356 | ratio=478.0%
PROMPT_014 | tokens=25600 | budget=2017 | ratio=1269.2%
PROMPT_015 | tokens=25600 | budget=3191 | ratio=802.3%
PROMPT_016 | tokens=25600 | budget=4994 | ratio=512.6%
PROMPT_017 | tokens=20000 | budget=147186 | ratio=13.6%
PROMPT_018 | tokens=25600 | budget=5490 | ratio=466.3%
PROMPT_019 | tokens=25600 | budget=4633 | ratio=552.6%
PROMPT_020 | tokens=25600 | budget=26599 | ratio=96.2%
PROMPT_021 | tokens=25600 | budget=25196 | ratio=101.6%
PROMPT_022 | tokens=25000 | budget=137063 | ratio=18.2%
PROMPT_023 | tokens=25600 | budget=34431 | ratio=74.4%
PROMPT_024 | tokens=25600 | budget=5911 | ratio=433.1%
PROMPT_025 | tokens=18200 | budget=4074 | ratio=446.7%
PROMPT_028 | tokens=25600 | budget=6770 | ratio=378.1%
PROMPT_029 | tokens=25600 | budget=3816 | ratio=670.9%
PROMPT_031 | tokens=17450 | budget=3212 | ratio=543.3%
PROMPT_033 | tokens=25600 | budget=9600 | ratio=266.7%
PROMPT_034 | tokens=25600 | budget=4987 | ratio=513.3%
PROMPT_035 | tokens=25600 | budget=3794 | ratio=674.7%
PROMPT_036 | tokens=23750 | budget=14639 | ratio=162.2%
PROMPT_037 | tokens=25600 | budget=6003 | ratio=426.5%
PROMPT_038 | tokens=25600 | budget=6702 | ratio=382.0%
PROMPT_039 | tokens=25150 | budget=9125 | ratio=275.6%
PROMPT_040 | tokens=25600 | budget=64024 | ratio=40.0%
PROMPT_041 | tokens=11050 | budget=2463 | ratio=448.6%
PROMPT_042 | tokens=25550 | budget=6115 | ratio=417.8%
PROMPT_043 | tokens=25600 | budget=5354 | ratio=478.1%
PROMPT_044 | tokens=25600 | budget=2714 | ratio=943.3%
PROMPT_045 | tokens=17150 | budget=4395 | ratio=390.2%
PROMPT_046 | tokens=24600 | budget=2880 | ratio=854.2%
PROMPT_048 | tokens=25600 | budget=2022 | ratio=1266.1%
PROMPT_049 | tokens=25600 | budget=3909 | ratio=654.9%
PROMPT_050 | tokens=25600 | budget=5151 | ratio=497.0%
PROMPT_051 | tokens=23300 | budget=5133 | ratio=453.9%
PROMPT_052 | tokens=25600 | budget=8258 | ratio=310.0%
PROMPT_053 | tokens=25600 | budget=7862 | ratio=325.6%
PROMPT_055 | tokens=25600 | budget=7191 | ratio=356.0%
PROMPT_056 | tokens=25600 | budget=3785 | ratio=676.4%
PROMPT_057 | tokens=25600 | budget=7066 | ratio=362.3%
PROMPT_059 | tokens=21950 | budget=71332 | ratio=30.8%
PROMPT_060 | tokens=25600 | budget=7032 | ratio=364.1%
PROMPT_061 | tokens=25600 | budget=6867 | ratio=372.8%
PROMPT_062 | tokens=25600 | budget=2169 | ratio=1180.3%
PROMPT_064 | tokens=25600 | budget=76750 | ratio=33.4%
PROMPT_065 | tokens=25600 | budget=4708 | ratio=543.8%
PROMPT_066 | tokens=19150 | budget=1090 | ratio=1756.9%
PROMPT_067 | tokens=25600 | budget=7416 | ratio=345.2%
PROMPT_068 | tokens=25600 | budget=36804 | ratio=69.6%
PROMPT_069 | tokens=5800 | budget=1006 | ratio=576.5%
PROMPT_070 | tokens=15100 | budget=2455 | ratio=615.1%
PROMPT_072 | tokens=18200 | budget=4972 | ratio=366.0%
PROMPT_073 | tokens=25600 | budget=6693 | ratio=382.5%
PROMPT_074 | tokens=24600 | budget=5899 | ratio=417.0%
PROMPT_075 | tokens=25600 | budget=4098 | ratio=624.7%
PROMPT_076 | tokens=21750 | budget=4473 | ratio=486.3%
PROMPT_077 | tokens=25600 | budget=2742 | ratio=933.6%
PROMPT_079 | tokens=25600 | budget=3460 | ratio=739.9%
PROMPT_080 | tokens=13800 | budget=1908 | ratio=723.3%
PROMPT_082 | tokens=25600 | budget=8956 | ratio=285.8%
PROMPT_083 | tokens=25600 | budget=2915 | ratio=878.2%
PROMPT_084 | tokens=25600 | budget=57195 | ratio=44.8%
PROMPT_085 | tokens=25100 | budget=6812 | ratio=368.5%
PROMPT_086 | tokens=25600 | budget=6171 | ratio=414.8%
PROMPT_087 | tokens=25050 | budget=2995 | ratio=836.4%
PROMPT_088 | tokens=17100 | budget=3188 | ratio=536.4%
PROMPT_089 | tokens=21750 | budget=5353 | ratio=406.3%
PROMPT_092 | tokens=16650 | budget=5557 | ratio=299.6%
PROMPT_093 | tokens=25600 | budget=6595 | ratio=388.2%
PROMPT_094 | tokens=22850 | budget=4126 | ratio=553.8%
PROMPT_095 | tokens=25600 | budget=23248 | ratio=110.1%
PROMPT_096 | tokens=23000 | budget=5207 | ratio=441.7%
PROMPT_097 | tokens=25600 | budget=4504 | ratio=568.4%
PROMPT_098 | tokens=24150 | budget=82622 | ratio=29.2%
PROMPT_099 | tokens=20900 | budget=3453 | ratio=605.3%
PROMPT_100 | tokens=25600 | budget=4300 | ratio=595.3%
PROMPT_101 | tokens=25600 | budget=4629 | ratio=553.0%
PROMPT_102 | tokens=25600 | budget=4456 | ratio=574.5%
PROMPT_103 | tokens=25600 | budget=2675 | ratio=957.0%
PROMPT_104 | tokens=25600 | budget=8029 | ratio=318.8%
PROMPT_105 | tokens=25600 | budget=7045 | ratio=363.4%
PROMPT_106 | tokens=25600 | budget=7487 | ratio=341.9%
PROMPT_108 | tokens=25150 | budget=3941 | ratio=638.2%
PROMPT_109 | tokens=25600 | budget=7655 | ratio=334.4%
PROMPT_110 | tokens=19700 | budget=3876 | ratio=508.3%
PROMPT_111 | tokens=20200 | budget=4423 | ratio=456.7%
PROMPT_112 | tokens=25600 | budget=7727 | ratio=331.3%
PROMPT_113 | tokens=25600 | budget=25612 | ratio=100.0%
PROMPT_114 | tokens=25600 | budget=3717 | ratio=688.7%
PROMPT_115 | tokens=25600 | budget=3173 | ratio=806.8%
PROMPT_116 | tokens=13750 | budget=2729 | ratio=503.8%
PROMPT_117 | tokens=25600 | budget=59667 | ratio=42.9%
PROMPT_118 | tokens=25600 | budget=3372 | ratio=759.2%
PROMPT_119 | tokens=25600 | budget=12125 | ratio=211.1%
PROMPT_120 | tokens=25600 | budget=4891 | ratio=523.4%
PROMPT_121 | tokens=21700 | budget=3917 | ratio=554.0%
PROMPT_122 | tokens=25600 | budget=8749 | ratio=292.6%
PROMPT_123 | tokens=25600 | budget=7460 | ratio=343.2%
PROMPT_124 | tokens=21600 | budget=2403 | ratio=898.9%
PROMPT_125 | tokens=25600 | budget=4283 | ratio=597.7%
PROMPT_126 | tokens=25600 | budget=6194 | ratio=413.3%
PROMPT_127 | tokens=25600 | budget=5889 | ratio=434.7%
PROMPT_128 | tokens=23850 | budget=6018 | ratio=396.3%
PROMPT_058 | tokens=25600 | budget=9610 | ratio=266.4%
PROMPT_071 | tokens=24950 | budget=5551 | ratio=449.5%
PROMPT_090 | tokens=128000 | budget=133643 | ratio=95.8%
PROMPT_091 | tokens=18500 | budget=104744 | ratio=17.7%
